Procedural__SID,Procedural__household,Demographic__DOB,Demographic__Sex,year,Big5__C_thorough,Big5__E_communic,Big5__A_coarse,Big5__O_original,Big5__N_worry,Big5__A_forgive,Big5__C_lazy,Big5__E_sociable,Big5__O_artistic,Big5__N_nervous,Big5__C_efficient,Big5__E_reserved,Big5__A_friendly,Big5__O_imagin,Big5__N_dealStress,LifeEvent__ChldBrth,LifeEvent__ChldMvOut,LifeEvent__Divorce,LifeEvent__DadDied,LifeEvent__NewPart,LifeEvent__Married,LifeEvent__MomDied,LifeEvent__MoveIn,LifeEvent__PartDied,LifeEvent__SepPart
901,94,1951,2,2005,6,4,4,5,6,5,4,5,3,3,5,6,5,4,3,-2,-2,-2,-2,NA,-2,-2,-2,-2,-2
901,94,1951,2,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,NA,-2,-2,-2,-2,-2
901,94,1951,2,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,NA,-2,-2,-2,-2,-2
901,94,1951,2,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,NA,-2,-2,-2,-2,-2
901,94,1951,2,2009,-1,4,3,4,6,5,4,5,4,5,6,6,5,4,3,-2,-2,-2,-2,NA,-2,-2,-2,-2,-2
901,94,1951,2,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,NA,-2,-2,-2,-2,-2
901,94,1951,2,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
901,94,1951,2,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
901,94,1951,2,2013,7,5,4,3,6,4,3,4,3,2,5,6,6,4,5,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
901,94,1951,2,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,-2,-2,1,-2,-2,-2
901,94,1951,2,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,-2,-2,1,-2,-2,-2
1202,124,1913,2,2005,7,6,1,6,6,-1,1,7,5,6,4,7,7,6,3,-2,-2,-2,-2,NA,-2,-2,-2,-2,-2
1202,124,1913,2,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,NA,-2,-2,-2,-2,-2
2301,230,1946,1,2005,7,6,5,5,4,6,4,3,5,5,6,6,6,3,4,-2,-2,-2,-2,NA,-2,-2,-2,-2,-2
2301,230,1946,1,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,NA,-2,-2,-2,-2,-2
2301,230,1946,1,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,NA,-2,-2,1,-2,-2
2301,230,1946,1,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,NA,-2,-2,-2,1,-2
2301,230,1946,1,2009,6,4,4,5,6,7,2,4,6,5,7,4,6,4,5,-2,-2,-2,-2,NA,-2,-2,-2,1,-2
2301,230,1946,1,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,NA,-2,-2,-2,-2,-2
2301,230,1946,1,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
2301,230,1946,1,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
2301,230,1946,1,2013,6,5,2,5,3,6,4,6,5,2,6,5,6,5,6,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
2301,230,1946,1,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
2301,230,1946,1,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
2302,230,1946,2,2005,6,5,6,5,3,3,2,5,7,2,6,4,5,3,6,-2,-2,-2,-2,NA,-2,-2,-2,-2,-2
2302,230,1946,2,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,NA,-2,-2,-2,-2,-2
2302,230,1946,2,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,NA,-2,-2,-2,-2,-2
2302,230,1946,2,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,NA,-2,-2,-2,-2,-2
2302,230,1946,2,2009,7,5,5,5,3,4,4,5,5,3,7,6,3,3,3,-2,-2,-2,-2,NA,-2,-2,-2,-2,-2
2302,230,1946,2,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,NA,-2,-2,-2,-2,-2
2302,230,1946,2,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
2302,230,1946,2,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
2302,230,1946,2,2013,7,5,5,6,3,3,2,4,7,2,6,5,2,4,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
2302,230,1946,2,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
2302,230,1946,2,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
2304,230,1978,1,2005,5,7,4,7,4,7,5,4,6,5,5,4,6,7,6,-2,-2,-2,-2,NA,-2,-2,-2,-2,-2
2304,230,1978,1,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,NA,-2,-2,-2,-2,-2
2305,230,1946,2,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,NA,-2,-2,1,-2,-2
4601,469,1933,2,2005,6,6,2,4,7,7,1,2,4,6,-1,6,6,3,2,-2,-2,-2,-2,NA,-2,-2,-2,-2,-2
4601,469,1933,2,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,NA,-2,-2,-2,-2,-2
4601,469,1933,2,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,NA,-2,-2,-2,1,-2
4601,469,1933,2,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,NA,-2,-2,-2,-2,-2
4701,477,1919,2,2005,6,6,1,3,3,5,1,4,2,3,6,4,6,4,5,-2,-2,-2,-2,NA,-2,-2,-2,-2,-2
4701,477,1919,2,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,NA,-2,-2,-2,-2,-2
4701,477,1919,2,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,NA,-2,-2,-2,-2,-2
4701,477,1919,2,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,NA,-2,-2,-2,-2,-2
4701,477,1919,2,2009,6,5,1,4,5,5,3,4,4,4,6,5,5,5,5,-2,-2,-2,-2,NA,-2,-2,-2,-2,-2
4701,477,1919,2,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,NA,-2,-2,-2,-2,-2
4901,493,1925,2,2005,5,7,2,5,5,4,2,6,2,4,5,3,6,3,4,-2,-2,-2,-2,NA,-2,-2,-2,-2,-2
4901,493,1925,2,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,NA,-2,-2,-2,-2,-2
4901,493,1925,2,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,NA,-2,-2,-2,-2,-2
4901,493,1925,2,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,NA,-2,-2,-2,-2,-2
4901,493,1925,2,2009,6,6,4,4,6,2,-1,5,2,5,6,4,6,4,4,-2,-2,-2,-2,NA,-2,-2,-2,-2,-2
